Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,SnapX,SnapY,SnapZ,DistanceToNetworkInMeters
P1362 - MP: Alpine,1,12201058,0.598752749529672,2,0,0,-116.773687817432460,32.835751814145226,0.000000000000000,7.399833061209163
P2271 - PP: Alpine,1,12201058,0.598752749529672,2,0,0,-116.773687817432460,32.835751814145226,0.000000000000000,7.399833061209163
P1363 - MP: Boulevard,1,14431215,0.387099115745352,2,0,0,-116.285224249370742,32.667174493415999,0.000000000000000,5.073835540650638
"P1027 - San Diego Freedom Ranch, Inc.",1,14425551,0.911111192553893,1,0,0,-116.487329649916433,32.650160612274917,0.000000000000000,7.033724062934535
P1302 - San Ysidro Health - Campo (MEM),1,14426428,0.745187918809384,2,0,0,-116.469579750684602,32.608322187918844,0.000000000000000,8.451228140561303
P1364 - MP: Campo,1,14426428,0.745187918809384,2,0,0,-116.469579750684602,32.608322187918844,0.000000000000000,8.451228140561303
P2158 - PP: Campo,1,14426428,0.745187918809384,2,0,0,-116.469579750684602,32.608322187918844,0.000000000000000,8.451228140561303
P1069 - St. Rose of Lima,1,11895318,0.101482520403731,2,0,0,-117.076890819803594,32.635861695114706,0.000000000000000,3.874623123246578
P1072 - Salvation Army Chula Vista,1,11891018,0.184061323541639,1,0,0,-117.075204452855218,32.629275768099994,0.000000000000000,7.613423282400555
P1083 - Templo Evangelico Maranatha,1,11881249,0.233124901126784,1,0,0,-117.088887218572609,32.642604657999229,0.000000000000000,5.763944875071216
P1202 - San Diego Filipino Am. SDA Church,1,11897420,0.594588064427718,1,0,0,-117.048931348999957,32.652483651000040,0.000000000000000,0.465607081638750
P1536 - Southwestern College (MEM),1,11901009,0.920625099967735,1,0,0,-116.995782950177485,32.642937165715651,0.000000000000000,1.209682682643278
P2241 - SP: Hilltop Child Development Center,1,11891154,0.961117413309404,1,0,0,-117.064746737255604,32.631263878677863,0.000000000000000,6.415135204392335
P2345 - BP: Howard Gardner Community School,1,11880882,0.813126351179618,1,0,0,-117.095827260503114,32.640674857005330,0.000000000000000,5.389791637834459
P1080 - Life Acts/Life Christian Center,1,11890345,0.957632942242457,2,0,0,-117.069354572174745,32.614490887527438,0.000000000000000,5.374687100977704
