Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 94 - P1448 - Foundry Food Pantry,94,94,1,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
"Location 94 - Foundry Community Church, The (DB)",94,732,2,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
"Location 94 - Foundry Community Church, The (e-site)",94,797,3,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 94 - P2122 - Neighborhood Healthcare (MEM),94,86,4,,,2.190455120408575,,,,0.724200088342500,,0.005773339876599
Location 94 - P1427 - The Fellowship Center,94,82,5,,,1.519736268541858,,,,0.751257752476293,,0.007147466894848
Location 94 - P1547 - Hidden Glenn Senior Living,94,97,6,,,1.656647417166651,,,,0.844778199902941,,0.006455226630760
Location 94 - Hidden Glenn Senior Living,94,385,7,,,1.656647417166651,,,,0.844778199902941,,0.006455226630760
Location 94 - CRF Esperanza Crisis Center,94,466,8,,,3.435298031802630,,,,1.117040045443189,,0.009768980722833
Location 94 - P1446 - Villa Escondido (MEM),94,84,9,,,3.157414020357908,,,,1.351274823085920,,0.010213628377952
Location 94 - Oak Hill Elementary School (Escondido Union),94,329,10,,,2.634152237159991,,,,1.750759265777877,,0.014534803068765
Location 94 - Central Elementary (Escondido Union),94,318,11,,,5.809258047358560,,,,1.912075724289416,,0.016058286520683
Location 94 - Farr Avenue Elementary (Escondido Union),94,319,12,,,4.746763753374701,,,,2.005145877786463,,0.016134556748089
Location 94 - Smart Food Foundation (Distribution),94,355,13,,,4.746763753374701,,,,2.005145877786463,,0.016134556748089
Location 94 - Ministerio Tiempo Nuevo,94,371,14,,,3.990845001069772,,,,2.068319282304845,,0.016464166549075
Location 94 - Park Avenue Community Center,94,623,15,,,5.916134743574077,,,,2.240926005857017,,0.018782349918395
Location 94 - P2226 - SP: Clothier Child Development Center,94,92,16,,,6.059209813558240,,,,2.243602569095210,,0.016908273478240
