Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 5 - P1302 - San Ysidro Health - Campo (MEM),5,5,1,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 5 - P1364 - MP: Campo,5,6,2,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 5 - P2158 - PP: Campo,5,7,3,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
"Location 5 - P1027 - San Diego Freedom Ranch, Inc.",5,4,4,,,5.219256577817212,,,,5.967679584819229,,0.045457564050515
Location 5 - SDFB at Campo Education Center (ZERO balances),5,365,5,,,12.002549211982883,,,,13.816645542627301,,0.111850708311210
Location 5 - Potrero Elementary (Mountain Empire),5,298,6,,,12.897333280068548,,,,15.758479686215608,,0.143594233491591
Location 5 - P1538 - MP: Potrero,5,47,7,,,13.254695248588483,,,,16.176043736018901,,0.143887534083787
Location 5 - Potrero Community Center Foundation (Neighborhood Dis),5,362,8,,,13.254695248588483,,,,16.176043736018901,,0.143887534083787
Location 5 - Potrero Community Center Foundation (mass),5,800,9,,,13.254695248588483,,,,16.176043736018901,,0.143887534083787
Location 5 - Back Country Support,5,615,10,,,18.700907835694672,,,,22.046600988433298,,0.190014705289333
Location 5 - SDFB Mt. Empire (mass) (ZERO balances),5,799,11,,,18.700907835694672,,,,22.046600988433298,,0.190014705289333
Location 5 - P1363 - MP: Boulevard,5,3,12,,,18.965854054428377,,,,22.429174531692990,,0.193638912057748
Location 5 - SDFB at Manzanita MAC (ZERO balances),5,366,13,,,27.861830500188191,,,,26.787874950377589,,0.177231944483403
Location 5 - SDFB at La Posta Casino (ZERO balances),5,367,14,,,40.269004160736067,,,,28.599527767357905,,0.186941187463263
Location 5 - P1366 - MP: Guatay,5,25,15,,,25.092472137083597,,,,31.880432143232838,,0.255674711782825
Location 5 - P1541 - MP: Jacumba,5,29,16,,,27.773705504600606,,,,34.809799487995598,,0.282516115836883
Location 5 - P2151 - PP: Jacumba,5,30,17,,,27.773705504600606,,,,34.809799487995598,,0.282516115836883
Location 77 - P2312 - Floodwaters AAA,77,77,1,,,0.000000000000000,,,,0.000000000000000,,0.000000000000000
Location 77 - Chaldean Evangelical Church,77,593,2,,,2.289088853048877,,,,1.051608508547263,,0.010021944187233
Location 77 - P2081 - Holy Trinity Church,77,65,3,,,3.548089825291073,,,,1.232792019126742,,0.005880221096611
Location 77 - P1392 - SP: Lexington Elementary,77,62,4,,,3.694936830499611,,,,1.291944726772703,,0.006484156046254
Location 77 - P1450 - Meridian Baptist Church,77,63,5,,,3.081329969444459,,,,1.405194083245989,,0.011952264242631
Location 77 - Prime Time Title 1 C.D.C./Meridian Baptist Church,77,408,6,,,3.081329969444459,,,,1.405194083245989,,0.011952264242631
Location 77 - Meridian Baptist Church,77,638,7,,,3.081329969444459,,,,1.405194083245989,,0.011952264242631
Location 77 - P1052 - East County Trans. Living Ctr,77,72,8,,,3.302097897144194,,,,1.479293646108227,,0.014308123002339
Location 77 - Jesus Cares Ministry (DB),77,689,9,,,3.196007477173891,,,,1.483987071064121,,0.014409152939347
